DeviceName:,Sonarworks;Systemwide,BitDepth:,32,Samplerate:,48000,SampleLayout:,1,IsFloat:,1,ChannelLayout:,2,PreBufferedBufferCount:,0
m_nHostTimestamp:,501583430128,m_nStreamPosition:,40448,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501594102521,m_nStreamPosition:,40960,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501604774914,m_nStreamPosition:,41472,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501615447307,m_nStreamPosition:,41984,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501626119700,m_nStreamPosition:,42496,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501636792094,m_nStreamPosition:,43008,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501647464487,m_nStreamPosition:,43520,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501658136880,m_nStreamPosition:,44032,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501668809273,m_nStreamPosition:,44544,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501679481666,m_nStreamPosition:,45056,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501690154059,m_nStreamPosition:,45568,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501700826453,m_nStreamPosition:,46080,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501711498846,m_nStreamPosition:,46592,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501722171239,m_nStreamPosition:,47104,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501732843632,m_nStreamPosition:,47616,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501743516025,m_nStreamPosition:,48128,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501754188418,m_nStreamPosition:,48640,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501764860812,m_nStreamPosition:,49152,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501775533205,m_nStreamPosition:,49664,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501786205598,m_nStreamPosition:,50176,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
